Image Name,Actual,trocr_large_handwritten,trocr_base_printed,trocr_base_handwritten,thivy_trocr_large_handwritten,dunnbc22_trocr_large_handwritten
0.jpg, Eighty Eight lakhs, Equly Eight banks., GSTY ERYLT LAXHS, Eighty Eight lawns., Eghbjørgtet takkes, EMPTY
0a.jpg, PadabaD. Pradeep Kumar, PadabaD. Pradeep Kumar, PAODED. PANDERP KNMAN, RadabaID. Pradeeprummer, Daderb. Stadeepkunmer, RADOLD
13.jpg, four Crore twenty lakhs, fourGenetments. Lakhs., BUL GORE TWENTY LACKS, Four Governmentity-lakehs, har Koretventz takke, EMPTY
135.png, Krupa Nagamani Kolipaka, Krupa Nagamani Kolipaka, KRUPA NAGAMANI KOLIPAKA, Krupa-Nagamani_Kolipaka, Kropaa Niagara kolifata, EMPTY
137.png, Sunil Gopal Jhu, Sunil Copal TNN, SUNIL (POPAL TW," Sunil,  Cooper John", Marit April The, SUNIL
137a.png, Forty two lakh twenty thousand, Fortyhoo'launch turning thousand, FOTY LOO LACH INVOLE ABOYABLE," Forty-Laos- "" - Latch.... Winnipeg ( thousands )", Forty Lvis likle Wentz Mansind, EMPTY
13a.jpg, chahat Thalwar, chahat Thalwar, CHAHAT THAWAS, chahat Thalwar, chal Thehaar, CHAHAT
161.png, Sima Naveen Kumar, Sima Naveen ICumal, SIMA NAVECH CUMEL, Sima Naveen ( Cumal, Signa Natten Emmal, SIMA
161a.png, Sixty Seven thousand, Siurg Seven fromSamal, SIXUR EVEN HOWLAYL, Sixty seven thousand, Leif sen Hængahl, EMPTY
196.png, R. SRILEKHA RAO, R. SRILEKHAO., R. SRILEKHA RAO, BRIT S.S.R.I. ( E.H.B. RAD, R. Skillek K20, SRILEKHA
196a.png, Two Lakh Seventy Five thousand, Two Lank Seventy Five thousand, TWO LAH SEVENTY FIVE THOUS AND, Two Lady Seventy. Five thousand, Tivn tært Severnty rive Hansand, EMPTY
241.png, Sri Vansi Krishna Rao, # Dousi' Krishna Rao., SR2 PANY' KRISLING RAD, so? Dansi Krishna Rao, så Canada Kristina, EMPTY
24a1.png, twent Crores, Jimmy- Cranes., TWY ORDRES, Twenty-000Carex., tmerf Arnes, EMPTY
260.png, Srikanth Reddy Pinninti, Svilcanth Reddy Pinninti, SR: 1 CAMK REGLEY PANINTI, Srikanth Roddy Pinniti, Skikabeth keddy Amfi, EMPTY
260a.png, one crore one Lakh, one more one batch., ONE CRORE ONE LATCH, one more one batch., Toe ene tasch, EMPTY
30.jpg, John Jones, John Jones., JOHYMENT, John Jones, Johri Jnes, EMPTY
30a.jpg, Wikimedia Foundation, Wikimedia Foundation., WILUMEDIA FOUNDATION, Wikimedia Foundation, Vikinedia Frundation, WILINEDIA
