BLUE GRACE LOGISTICS LLC,542564
VENDOR ID,PAYMENT,JUMBER,CHECK DATE,DOCUMENT NUMBER
3179037,DNY TRUCKING LLC,700000000995319,3/3/2023,542564
OUR VOUCHER NUMBER,DATE,AMOUNT,AMOUNT PAID,DISCOUNT,NET AMOUNT PAID
BG568209923,2/3/2023,$1.465.20,"$1,455.20","$1,465.20"
BG568210223,2/3/2023,"$1,465.20","$1,465.20","$1,465.20"
BG568209423,2/3/2023,"$1,465.20",$1.465.20,"$1,465.20"
BG571063723,2/3/2023,$1.465.20,"$1,465.20",465.20
BG571063623,2/3/2023,"$1,465.20","$1,465.20","$1,465.20"
BG571065023,2/3/2023,"$1,432.99","$1,432.99","$1,432.99"
BG571064723,2/3/2023,"$1,429.56","$1,429.58",$1.429.56
BG571063923,2/3/2023,"$1,465.20","$1,465.20","$1,465.20"
"$11,653.75",$11.653.75,30.00,"$11,653.75",NAME
